ID;sexe;situation_relationnelle;duree_relation;sexe_partenaire;enceinte;partenaire_enceinte;enfants;souhait_enfant;partenaires_femmes;partenaires_hommes;grossesse_anterieure;grossesse_anterieure_partenaire;grossesse_cont_aucune;grossesse_cont_pres;grossesse_cont_autre;cont_pilule;cont_sterilet;cont_implant;cont_preservatif_masculin;cont_retrait;cont_autres;cont_aucun;nocont_inactivite;nocont_enfant_souhait;nocont_enfant_impossible;pilule_lendemain;pilule_lendemain_cause;opinion_epanouie;opinion_grossir;opinion_contrainte;opinion_difficulte_apres;opinion_sante;probleme_medical;probleme_endometriose;probleme_regles_douloureuses;probleme_acne;medecin_gyneco;medecin_effets_secondaires;medecin_benefices;medecin_risques;mutuelle;renoncement_soins;habitat_TUU2014;demo_age;demo_diplome;demo_revenus;religion_importance;religion_education;politique_gauche_droite;ponderation
796;2;2;6;6;3;6;2;1;0;10;2;6;6;6;6;2;2;2;2;2;2;1;1;2;2;3;5;2;2;3;5;5;2;2;2;1;1;1;1;2;1;2;2;3;4;5;1;2;6;0,488643009
797;2;1;3;1;3;6;2;2;0;1;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;3;4;2;3;4;2;2;2;2;1;2;2;1;1;2;2;5;4;12;3;1;9;0,787466599
798;1;1;3;2;6;3;1;2;1;0;6;1;2;1;2;2;2;2;1;2;2;2;6;6;6;1;66;5;2;1;1;4;6;6;6;6;6;6;6;6;1;2;0;7;5;10;4;1;7;2,150528192
799;1;1;3;2;6;3;2;1;2;0;6;1;1;2;2;2;1;2;2;2;2;2;6;6;6;6;3;5;1;2;2;2;6;6;6;6;6;6;6;6;1;2;0;1;3;9;1;2;8;3,001413354
800;2;1;3;1;3;6;1;2;0;1;1;6;1;2;2;2;2;1;2;2;2;2;6;6;6;1;66;4;2;3;4;4;1;2;2;2;1;1;2;2;1;2;0;2;4;12;1;1;5;0,822068604
801;1;1;3;2;6;4;2;1;3;0;6;2;6;6;6;2;2;2;2;2;2;1;2;1;2;1;66;3;3;2;2;1;6;6;6;6;6;6;6;6;8;2;3;1;5;77;1;2;88;0,373835366
802;2;1;3;1;3;6;1;2;0;10;1;6;1;2;2;2;1;2;2;2;2;2;6;6;6;1;66;5;5;1;5;1;2;2;2;2;1;1;1;2;1;2;0;3;5;12;1;2;3;0,455735303
803;2;1;3;1;3;6;1;2;0;1;1;6;1;2;2;2;2;2;2;2;2;1;2;2;1;1;66;1;4;3;2;2;2;2;2;2;1;2;2;1;1;2;2;3;3;10;1;1;6;1,056750786
804;2;1;3;1;3;6;1;2;0;1;1;6;1;2;2;2;2;2;2;2;2;1;2;2;2;1;66;2;3;2;1;2;2;2;2;2;2;6;6;6;1;2;3;8;1;9;2;1;8;0,811738768
805;2;2;6;6;3;6;2;1;0;0;6;6;6;6;6;2;2;2;2;2;2;1;1;2;2;1;66;2;2;2;3;3;2;2;2;2;2;6;6;6;1;2;4;1;3;77;1;2;5;4,13018893
